"id","food","drinks","date","drink_oz","food_cal"
"1","Homemade Chalupa x2, everything bagel","water, chocolate milk","2024-02-01","32","940"
"2","Everything bagel x2, Starbucks grilled cheese","Orange Peach Mango, chocolate milk, water","2024-02-02","32","980"
"3","Starbucks grilled cheese, everything bagel, homemade chalupa","Dulce Iced Vanilla Latte, Chocolate milk, water","2024-02-03","48","1270"
"4","Tomato Basil Pasta, Chipotle bowl","Jasmine Green Milk Tea, chocolate milk, water","2024-02-04","56","1050"
"5","french fries, spinach tofu wrap, soft serve, tomato basil pesto, everything bagel","Starbucks Gingerbread Latte, orange guava, water","2024-02-05","44","1370"
"6","Starbucks grilled cheese, pesto pasta, hummus and pita chips","Water, orange juice, iced vanilla latte","2024-02-06","44","1150"
"7","Pesto lime pasta, hummas and pita chips, avocado","Thai milk tea, chocolate milk, hazelnut cold brew, water","2024-02-07","48","950"
"8","bagel, green curry and rice, chocolate muffin","chocolate milk, water","2024-02-08","32","1220"
"9","everything bagel, cheez-its chex mix, in-n-out cheeseburger, fries","Orange Peach Mango, water","2024-02-09","24","1320"
"10","pineapple cake, pizza hut pizza","chocolate milk, water","2024-02-10","32","1800"
"11","carrot cake, veggie burger, roasted tofu","sprite, water","2024-02-11","32","950"
"12","homemade chalupa x2","water, orange peach mango","2024-02-12","40","1000"
"13","chocolate covered strawberries, cheese pizza, jello, bagel","strawberry peach, water","2024-02-13","28","1295"
"14","homemade mozzarella basil tomato pizza","orange peach mango, water","2024-02-14","24","1250"
"15","bagel x3, homemade chalupa","water","2024-02-15","24","1360"
"16","mozzarella pizza","orange peach mango, water","2024-02-16","24","1200"
"17","pav bhaji","water, chocolate milk","2024-02-17","36","700"
"18","tomato cheese garlic pasta, mac and cheese","water","2024-02-18","24","800"
"19","mac and cheese with garlic toast","water, gatorade","2024-02-19","36","800"
"20","everything bagel an cream cheese, homemade chalupa","gingerbread latte, water","2024-02-20","34","830"
"21","everything bagel, Nutella toast, tomato pasta","water, orange peach mango","2024-02-21","24","920"
"22","Nutella toast, tomato pasta x 2","Coke, water","2024-02-22","40","1000"
"23","tomato pasta x3 ","snickerdoodle latte, water","2024-02-23","28","1200"
"24","bagel, veggie egg friend rice","orange peach mange, water","2024-02-24","24","820"
"25","honey roasted peanuts, salsa and chips, cheese puffs, Nutella toast","mango lassi, orange peach mango, water","2024-02-25","38","750"
"26","everything bagel x 3","thai milk tea, water","2024-02-26","32","900"
"27","toast and pesto pasta, 1 pancake","mango green milk tea, water","2024-02-27","32","650"
"28","pesto pasta, Nutella toast, chorizo soft taco, fries","water, sprite","2024-02-28","40","1300"
"29","sourdough bread, pesto pasta, bagel","water, orange peach mango juice","2024-02-29","32","820"
"30","bagel, indochinese rice, gobi manchurian","water, sprite","2024-03-01","32","1020"
"31","vegan hamburger, water, bagel, peanuts","water","2024-03-02","24","900"
"32","bagel x2","water, cranberry juice","2024-03-03","32","880"
"33","chocolate cake, bagel","water","2024-03-04","24","820"
"34","fries, tofu wrap, cheese pizza, cocoa puffs","water, sprite, milk","2024-03-05","48","970"
"36","cheese and tomato sandwich, fries, chocolate cake, cheese pizza","water, sprite, coke, mango lassi","2024-03-06","36","1750"
"37","spinach mozzerella wrap, bagel, pesto pasta","water, sprite, orange peach mango juice","2024-03-07","48","1070"
"48","bagel x2","water, orange juice","2024-03-08","28","860"
"49","tomato pasta, vegan burger","water, lemonade","2024-03-09","40","800"
"50","bagel, grilled cheese sandwich","water, chocolate milk","2024-03-10","32","720"
"51","pesto pasta, nutella toast","water, sprite","2024-03-11","32","920"
"52","everything bagel x2","water, sprite","2024-03-12","32","880"
"53","tomato pasta x2","water, thai milk tea","2024-03-13","40","800"
"54","pesto pasta x2, fries","water, orange peach mango","2024-03-14","28","1120"
"55","tomato pasta x2, bagel","water","2024-03-15","20","1160"
"56","nutella toast x2, bagel","water, chocolate milk","2024-03-16","20","1060"
"57","homemade chalupa, bagel","water","2024-03-17","24","940"
"58","grilled cheese, tomato pasta","water, sprite","2024-03-18","20","840"
"59","pesto pasta x3","water","2024-03-19","16","1200"
"60","everything bagel, hummus & pita chips","water, orange juice","2024-03-20","20","860"
"61","bagel x2","water, chocolate milk","2024-03-21","28","880"
"62","tomato pasta, vegan burger","water","2024-03-22","16","780"
"63","pesto pasta x2, bagel","water, lavender latte","2024-03-23","32","1120"
"64","homemade chalupa x2","water, cranberry juice","2024-03-24","20","1000"
"65","veggie burger, fries","water, sprite","2024-03-25","20","850"
"66","chipotle burrito, bagel","water, sprite","2024-03-26","48","1320"
"67","tomato pasta, nutella toast","water","2024-03-27","16","720"
"68","pesto pasta, everything bagel","water, orange peach mango","2024-03-28","28","820"
"69","pizza, bagel","water, sprite","2024-03-29","32","1180"
"70","pesto pasta x2, nachos and salsa","water","2024-03-30","24","1200"
"71","grilled cheese, tomato pasta","water, iced vanilla latte","2024-03-31","32","840"
"72","homemade chalupa x2","water, orange juice","2024-04-01","48","1000"
"73","everything bagel x2","water, orange juice","2024-04-02","32","800"
"74","tomato pasta, pesto pasta","water, sprite","2024-04-03","32","720"
"75","bagel x3","water","2024-04-04","24","1320"
"76","nutella toast, tomato pasta","water, chocolate milk","2024-04-05","20","720"
"77","bagel,pesto pasta","water, iced lavender latte","2024-04-06","24","820"
"78","3 veggie tacos, grilled cheese sandwich","water, orange peach mango juice","2024-04-07","40","1000"
"79","tomato pasta x2, bagel","water","2024-04-18","24","1160"
"80","veggie burger, fries","water, sprite","2024-04-09","24","850"
"81","pesto pasta x3","water","2024-04-10","20","1200"
"82","everything bagel x2","water, chocolate milk","2024-04-11","24","880"
"83","grilled cheese, tomato pasta","water, mango lassi","2024-04-12","32","800"
"84","bagel x3","water","2024-04-13","24","1320"
"85","pesto pasta x2, chocolate wafers","water, orange juice","2024-04-14","32","975"
"86","acai bowl, tomato pasta","water","2024-04-15","16","800"
"87","Grilled Cheese Sandwhich, Tomato Pasta x2","water","2024-04-16","16","1200"
"88","Bagel, Pesto Pasta x2","water","2024-04-17","16","1120"
"89","Bagel, Tomato Pasta","water, chocolate milk","2024-04-18","36","720"
"90","Bagel x2, Tomato Pasta","Water, Orange Juice","2024-04-19","24","1260"
"91","Bowl of fruit, Breakfast Sandwich ","Water, cinnamon chai Latte","2024-04-20","24","1300"
"92","Tomato Pasta x2","Water, Chocolate Milk","2024-04-21","16","800"
"93","Tomato Pasta, Pesto Pasta","water, chocolate milk","2024-04-22","16","800"
"94","Bagel, Tomato Pasta","Water, Chocolate Milk","2024-04-23","16","1200"
"95","Black Sesame wafers, Sorizo Tacos, Cheese Pizza","Sprite, water, Jasmine Boba","2024-04-24","40","1425"
"96","Bagel, chocolate donut, tomato pasta x 2","water, Iced Vanilla Latte","2024-04-25","24","1370"
"97","bagel, fries, crepe","water, sprite, orange guava juice","2024-04-26","56","820"
"98","bagel, tomato pasta","water","2024-04-27","24","720"
"99","pav bhaji, bagel","water, orange guava juice","2024-04-28","40","800"
"100","grilled cheese sandwich, tomato pasta","water, iced vanilla latte","2024-04-29","24","800"
"101","bagel, chocolate bar, paneer tikka masala and naan","water, mango lassi","2024-04-30","32","1270"
"102","yogurt fruit bowl, maggi, bagel","water","2024-05-01","24","945"
